opportunity_reference,account_name,opportunity_name,project_type,stage,probability,estimated_value,expected_close_date,sales_owner,technical_owner,customer_budget,competitors,next_step,next_action_date,status,notes
SS-26-0037,martej,RFQ Wireless Inline Load Cell for Snubbing Oper,New,Qualification,90,15000.0,2026-03-01,Abdelaziz Abdelsadek,,0,,,2026-03-01,Open,"Business Unit: Trading | End User: martej | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 30.0% / 15,000.00 | Delivery: 2026-01-28 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %; Assigned To missing"
SS-26-0036,ARAMCO,Supply of Rotameter - Variable Area Flowmeter,Replacement,Proposal,90,25000.0,2026-03-01,Mohammed Nishar,Mohammed Nishar,0,,,2026-03-01,Open,"Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 6,250.00 | Delivery: 2026-01-28 | Must Win: Yes"
SS-26-0035,ARA,PR 333180093,Replacement,Qualification,90,800.0,2026-02-01,Abdelaziz Abdelsadek,Abdelaziz,0,,,2026-02-01,Open,Business Unit: Trading | End User: ARA | Industry: Materials | Original Stage: Budgetary | Forecast GM: 50.0% / 500.00 | Delivery: 2026-01-27 | Must Win: Yes
SS-26-0034,delta-globaltrading,URGENT ENQUIRY- PLC & Instrumentation - Price and Availabili,Replacement,Qualification,90,100.0,2026-02-01,Abdelaziz Abdelsadek,Rania,0,,,2026-02-01,Open,"Business Unit: Trading | End User: Alamak globaltrading | Industry: Materials | Original Stage: Budgetary | Forecast GM: 50.0% / 1,000.00 | Delivery: 2026-05-01 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0033,Gulf Cryo,UPS & BATTERY _ERAM ELECTRONICS (APEC)-255915,New,Proposal,90,350000.0,2026-07-01,,Rania,0,,,2026-07-01,Open,"Business Unit: Trading | End User: Gulf Cryo | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 20.0% / 70,000.00 | Delivery: 2026-09-01 | Must Win: Yes | Quality: Salesman missing"
SS-26-0032,gulf cryo,supply and installation of diesel generator,New,Proposal,90,652450.0,2026-07-01,Mohammed Nishar,Rania,0,,,2026-07-01,Open,Business Unit: Project | End User: Gulf Cryo | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 0.0% / 0.00 | Delivery: 2026-09-01 | Must Win: Yes | Quality: GM % missing
SS-26-0031,Gas Equipment & Contracting Co.,Supply Quantometer,New,Qualification,70,0.0,2026-01-01,Shady Moussa,Rania,0,,,2026-01-01,Open,Business Unit: Trading | End User: TEKIN INDUSTRIES | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 25.0% / 0.00 | Delivery: 2026-01-26 | Must Win: Yes | Quality: Gross value missing
SS-26-0030,Gas Solutions Company,Supply Volume Converter,New,Qualification,70,35000.0,2026-04-01,Shady Moussa,Nishar,0,,,2026-04-01,Open,"Business Unit: Trading | End User: Gas Solutions Company | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 22.0% / 7,700.00 | Delivery: 2026-01-26 | Must Win: Yes"
SS-26-0029,WestRock Bahrin,Quote-Request_WestRock,Upgrade,Qualification,90,400.0,2026-02-01,Abdelaziz Abdelsadek,Abdelaziz,0,,,2026-02-01,Open,Business Unit: Trading | End User: WestRock | Industry: Materials | Original Stage: Budgetary | Forecast GM: 50.0% / 600.00 | Delivery: 2026-02-28 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %
SS-26-0028,Masar Solution for Building Material Trading Est.,Supply Gas Regulator,New,Proposal,70,5105.0,2026-05-01,Shady Moussa,Rania,0,,,2026-05-01,Open,"Business Unit: Trading | End User: Crown Paper Mill | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 20.0% / 3,782.00 | Delivery: 2026-09-10 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0027,Jeem Al Arabia,,Replacement,Qualification,90,1500.0,2026-02-01,Abdelaziz Abdelsadek,Rania,0,,,2026-02-01,Open,"Business Unit: Trading | Industry: Materials | Original Stage: Budgetary | Forecast GM: 50.0% / 1,500.00 | Delivery: 2026-01-25 | Must Win: Yes | Quality: Deal Name missing; Source GM value differs materially from Gross × GM %"
SS-26-0026,Yasserf,"KOG250363 - RFQ for Assembly, Integration and Testing",New,Proposal,90,78747.0,2026-07-01,,Rania,0,,,2026-07-01,Open,"Business Unit: Service | End User: Yasserf | Industry: Petrochemical | Original Stage: Firm | Forecast GM: 35.0% / 25,000.00 | Delivery: 2026-01-22 | Must Win: Yes | Quality: Customer Name missing; Account inferred from End User; Source GM value differs materially from Gross × GM %; Salesman missing"
SS-26-0025,SWA,Supply and installation 226 vibration Sensors,New,Lost,70,1356000.0,2026-07-01,Shady Moussa,Rania,0,,,2026-07-01,Lost,"Business Unit: Trading | End User: SWA | Industry: Oil & Gas | Original Stage: Canceled | Forecast GM: 20.0% / 360,000.00 | Delivery: 2026-02-04 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0024,ASTERA GROUP,ASTEREA TECHNICAL SERVICES,New,Qualification,90,8000.0,2026-02-01,Abdelaziz Abdelsadek,ABDELAZIZ,0,,,2026-02-01,Open,"Business Unit: Trading | End User: ASTERA GROUP | Industry: Materials | Original Stage: Budgetary | Forecast GM: 30.0% / 2,000.00 | Delivery: 2026-02-28 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0023,actssaudi,6600011435-oil indicator.,New,Qualification,90,0.0,2026-02-01,Basith Ahmed,Hussain Al Haydar,0,,,2026-02-01,Open,Business Unit: Trading | End User: actssaudi | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 22.0% / 0.00 | Delivery: 2026-03-31 | Must Win: Yes | Quality: Gross value missing
SS-26-0022,Alazzaz trading & cantracting CO.,Supply of Resistance Temperature Detector,New,Qualification,90,0.0,2026-02-01,Basith Ahmed,Hussain Al Haydar,0,,,2026-02-01,Open,Business Unit: Trading | End User: Alazzaz trading & cantracting CO. | Industry: Materials | Original Stage: Budgetary | Forecast GM: 22.0% / 0.00 | Delivery: 2026-03-31 | Must Win: Yes | Quality: Gross value missing
SS-26-0021,IMI,Supply of Petrol Instruments PD Meter,New,Proposal,90,1000000.0,2026-01-01,Mohammed Nishar,Mohammed Nishar,0,,,2026-01-01,Open,"Business Unit: Trading | End User: ARO Drilling | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 150,000.00 | Delivery: 2026-10-31 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0020,HADEED ALRAJHI STEEL,Supply of E&H Level Sensor,Replacement,Proposal,90,30000.0,2026-02-01,Mohammed Nishar,Mohammed Nishar,0,,,2026-02-01,Open,"Business Unit: Trading | End User: HADEED ALRAHJI STEEL | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 7,500.00 | Delivery: 2026-04-30 | Must Win: Yes"
SS-26-0019,Yansab,"replacement of ph,clorine,oil&and grease analyzer",Replacement,Qualification,70,450000.0,2024-08-01,,Rania,0,,,2024-08-01,Open,"Business Unit: Project | End User: Sabic-Yansab | Industry: Petrochemical | Original Stage: Budgetary | Forecast GM: 15.0% / 60,000.00 | Delivery: 2026-12-30 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %; Salesman missing"
SS-26-0018,Aramco,Aramco_4203236231_ANALYZER; OXYGEN EMISSION MONITER.,New,Proposal,90,500000.0,2026-04-01,Mohammed Nishar,Mohammed Nishar,0,,,2026-04-01,Open,Business Unit: Project | End User: Aramco | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 0.0% / 0.00 | Delivery: 2026-09-30 | Must Win: Yes | Quality: GM % missing
SS-26-0017,INFINITY WORK TRADING COMPANY,Supply of pressure gauge,New,Qualification,90,0.0,2026-03-01,Basith Ahmed,Hussain Al Haydar,0,,,2026-03-01,Open,Business Unit: Trading | End User: INFINITY WORK TRADING COMPANY | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 22.0% / 0.00 | Delivery: 2026-03-31 | Must Win: Yes | Quality: Gross value missing
SS-26-0016,Petrojet,Supply of Electromagnetic Flow Meter,New,Proposal,90,110000.0,2026-04-01,Mohammed Nishar,Mohammed Nishar,0,,,2026-04-01,Open,"Business Unit: Trading | End User: NEOM | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 27,500.00 | Delivery: 2026-07-31 | Must Win: Yes"
SS-26-0015,INFINITY WORK TRADING COMPANY,Supply of pressure gauge,New,Qualification,70,0.0,2026-02-01,Basith Ahmed,Hussain Al Haydar,0,,,2026-02-01,Open,Business Unit: Trading | End User: INFINITY WORK TRADING COMPANY | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 22.0% / 0.00 | Delivery: 2026-01-15 | Must Win: Yes | Quality: Gross value missing
SS-26-0014,Aramco,Supply of Krohne Variable Area Flowmeter,Replacement,Proposal,90,0.0,2026-04-01,Mohammed Nishar,Mohammed Nishar,0,,,2026-04-01,Open,Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 0.00 | Delivery: 2026-08-31 | Must Win: Yes | Quality: Gross value missing
SS-26-0013,Aramco,Supply of Flaregas Flow Meter,New,Qualification,90,1000000.0,2026-06-01,Mohammed Nishar,Mohammed Nishar,0,,,2026-06-01,Open,"Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 25.0% / 500,000.00 | Delivery: 2026-08-30 | Must Win: No | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0012,Aramco,Supply of Flare gas Flow Meter,New,Proposal,90,250000.0,2026-03-01,Mohammed Nishar,Mohammed Nishar,0,,,2026-03-01,Open,"Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 62,500.00 | Delivery: 2026-10-31 | Must Win: No"
SS-26-0011,Jubail O & M Limited Co.,Service of cleaning of flow meters,New,Qualification,70,250000.0,2026-04-01,Shady Moussa,Imran,0,,,2026-04-01,Open,"Business Unit: Trading | End User: Marafiq IWPP | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 20.0% / 67,000.00 | Delivery: 2026-01-13 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0010,Saudi Development Company LTD,Supply PT & TT,New,Proposal,70,30000.0,2026-04-01,Shady Moussa,Imran,0,,,2026-04-01,Open,"Business Unit: Trading | End User: Saudi Development Company LTD | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 20.0% / 8,000.00 | Delivery: 2026-01-12 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0009,Subway Networks,Supply of Krohne IFC Converter,Replacement,Qualification,90,9000.0,2026-03-01,Mohammed Nishar,Mohammed Nishar,0,,,2026-03-01,Open,"Business Unit: Trading | End User: SABIC | Industry: Petrochemical | Original Stage: Budgetary | Forecast GM: 25.0% / 2,250.00 | Delivery: 2026-01-12 | Must Win: Yes"
SS-26-0008,Subway Networks,Supply of Variable Area flowmeter,Replacement,Qualification,90,0.0,2026-03-01,Mohammed Nishar,Mohamed Nishar,0,,,2026-03-01,Open,"Business Unit: Trading | End User: SABIC | Industry: Petrochemical | Original Stage: Budgetary | Forecast GM: 25.0% / 18,750.00 | Delivery: 2026-01-12 | Must Win: Yes | Quality: Gross value missing"
SS-26-0007,Subway Electricals,Supply of Electromagnetic Flowmeter,New,Qualification,90,220000.0,2026-04-01,Mohammed Nishar,Mohamed Nishar,0,,Supply of Electromagnetic Flowmeter,2026-04-01,Open,"Business Unit: Trading | End User: NWC | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 25.0% / 110,000.00 | Delivery: 2026-01-12 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0006,Jubail O & M Limited Co.,"Validaton/Verificaton of Flow Computer, Flowmeter, PT and",New,Qualification,70,56700.0,2026-08-01,Shady Moussa,Imran,0,,,2026-08-01,Open,"Business Unit: Trading | End User: Marafiq IWPP | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 20.0% / 56,700.00 | Delivery: 2026-08-20 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0005,TANAJIB Operation and Maintenance Company (TOMCO),Validation & Verification GC Encal 3000,New,Qualification,70,40875.0,2026-02-01,Shady Moussa,Syed Imran,0,,,2026-02-01,Open,"Business Unit: Trading | End User: Aramco - Tanajib | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 20.0% / 11,000.00 | Delivery: 2026-01-08 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0004,Fadhili O&M Company,VERIFICATION DANIEL ULTRASONIC FLOWMETER,New,Proposal,70,10532.94,2026-01-01,Basith Ahmed,Hussain Al Haydar,0,,,2026-01-01,Open,"Business Unit: Trading | End User: Fadhili O&M Company | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 22.0% / 2,014.65 | Delivery: 2026-01-08 | Must Win: Yes | Quality: Customer Name missing; Account inferred from End User; Source GM value differs materially from Gross × GM %"
SS-26-0002,CHEMAOIL,CHEMAOIL,Replacement,Qualification,70,10000.0,2026-04-01,Abdelaziz Abdelsadek,Abdelaziz,0,,,2026-04-01,Open,"Business Unit: Trading | End User: CHEMAOIL | Industry: Materials | Original Stage: Budgetary | Forecast GM: 15.0% / 10,000.00 | Delivery: 2026-04-15 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0003,Advanced Petrochemical,Calibration of Daniel Turbine FM,Replacement,Proposal,70,4127.5,2026-01-01,Basith Ahmed,Hussain,0,,,2026-01-01,Open,Business Unit: Trading | End User: Adavanced Petrochemical | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 20.0% / 220.00 | Delivery: 2026-02-28 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %
SS-26-0001,Gas Equipment and Contracting,Supply Quantometer & USM,New,Qualification,70,320000.0,2026-10-01,Shady Moussa,Imran,0,,,2026-10-01,Open,"Business Unit: Trading | End User: Gas Equipment and Contracting | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 22.0% / 69,093.00 | Delivery: 2026-11-14 | Must Win: Yes"
SS-25-0239,Hadeed,Supply of Electromagnetic Flow Meter,New,Proposal,90,120000.0,2026-01-01,Mohammed Nishar,Mohamed Nishar,0,,,2026-01-01,Open,"Business Unit: Trading | End User: HADEED | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 20.0% / 24,000.00 | Delivery: 2025-12-29 | Must Win: Yes"
SS-25-0238,Aramco,"Supply of CUSTODY FLOW COMPUTER, LIQUID, PANEL-MNT.",New,Proposal,90,70000.0,2026-01-01,Mohammed Nishar,Mohammed Nishar,0,,,2026-01-01,Open,"Business Unit: Trading | End User: Aramco Jazan Refinery | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 15.0% / 39,375.00 | Delivery: 2025-04-30 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-25-0237,YASREF,Supply of Daniel Sphere Switch Detector,New,Qualification,90,10000.0,2026-01-01,Mohammed Nishar,Mohammed Nishar,0,,RFQ received today and sent it to Daniel Measurement.,2026-01-01,Open,"Business Unit: Trading | End User: YASREF | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 20.0% / 2,000.00 | Delivery: 2025-12-29 | Must Win: Yes"
SS-25-0236,Zamil offshore,LB8 192000 SIEMENS Spares,New,Awarded,70,6657.68,2026-01-01,Shady Moussa,Rania,0,,,2026-01-01,Won,"Business Unit: Trading | End User: Zamil offshore | Industry: Oil & Gas | Original Stage: Won | Forecast GM: 35.0% / 2,330.19 | Delivery: 2025-12-29 | Must Win: Yes"
SS-25-0235,GULF CRYO,RFQ FOR HVAC DDC Panel -255915 | GULF CRYO | EPCM work for,New,Qualification,90,310000.0,2026-01-01,Mohammed Nishar,Mohammed Nishar,0,,RFQ Received from SEGI on 11 DEC and offer received from Egypt Supplier on 24th Dec.,2026-01-01,Open,"Business Unit: Trading | End User: Gulf Cryo | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 30.0% / 70,500.00 | Delivery: 2025-12-24 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-25-0234,ENG Mohamed Abaza,water leak detiction,New,Proposal,90,50000.0,2026-01-01,Abdelaziz Abdelsadek,Eng Nishar,0,,,2026-01-01,Open,"Business Unit: Trading | End User: o.r.g technology factory | Industry: Power & Water | Original Stage: Firm | Forecast GM: 25.0% / 25,000.00 | Delivery: 2025-12-24 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-25-0233,Aramco,Supply of Honeywell Gas Detector,New,Proposal,90,0.0,2026-03-01,Mohammed Nishar,Mohammed Nishar,0,,Received the Rfq from Measuring Unit and sent the RFQ to honeywell,2026-03-01,Open,"Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 20.0% / 50,000.00 | Delivery: 2025-12-22 | Must Win: Yes | Quality: Customer Name missing; Account inferred from End User; Gross value missing"
SS-25-0232,مهندس نواف,plc zamil cranes,New,Proposal,90,30000.0,2026-02-01,Abdelaziz Abdelsadek,andelaziz,0,,,2026-02-01,Open,"Business Unit: Trading | End User: zamil cranes | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 30,000.00 | Delivery: 2025-12-22 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-25-0231,maaden,maaden elester,Replacement,Qualification,90,1000.0,2026-03-01,Abdelaziz Abdelsadek,Mr Shady Mousa,0,,ملاحظة يا شادي : اظن مهندس نيشار عامل opportionity pipe line نفسها قبلي,2026-03-01,Open,"Business Unit: Trading | End User: maaden | Industry: Materials | Original Stage: Budgetary | Forecast GM: 20.0% / 1,000.00 | Delivery: 2026-03-15 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-25-0230,SIPCHEM,Supply of Electromagnetic FlowMeter,New,Proposal,90,280000.0,2026-03-01,Mohammed Nishar,Mohammed Nishar,0,,RFQ received from Sipchem and floated to OEM Krohne,2026-03-01,Open,"Business Unit: Trading | End User: Sipchem | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 20.0% / 56,000.00 | Delivery: 2026-10-28 | Must Win: Yes"
SS-25-0229,Maaden,Supply of Honeywell Elster Quantometer,New,Proposal,90,0.0,2024-01-01,Shady Moussa,Mohammed Nishar,0,,"Rfq Received From Maaden today, RFQ floated to Honyewell by Shady",2024-01-01,Open,"Business Unit: Trading | End User: Maaden | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25000.0% / 2,750.00 | Delivery: 2025-12-14 | Must Win: Yes | Quality: Gross value missing"
SS-25-0228,HADEED - AL RAJHI STEEL,Supply of Brooks Instruments Flow Sensor,New,Qualification,90,15000.0,2026-02-01,Mohammed Nishar,Mohammed Nishar,0,,RFQ received from Hadeed and sent the RFQ to Brooks Instruments,2026-02-01,Open,"Business Unit: Trading | End User: Hadeed | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 20.0% / 7,000.00 | Delivery: 2025-12-14 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-25-0227,Global pipe,Global Pipe,Upgrade,Proposal,90,32000.0,2026-02-01,Abdelaziz Abdelsadek,MR : Shady Mousa,0,,,2026-02-01,Open,"Business Unit: Trading | End User: Global pipe | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 30.0% / 1,000.00 | Delivery: 2026-03-10 | Must Win: Yes | Quality: Customer Name missing; Account inferred from End User; Source GM value differs materially from Gross × GM %"
SS-25-0226,Aramco,Supply of Electromagnetic Flowmeter,New,Proposal,90,70000.0,2026-02-01,Mohammed Nishar,Mohammed Nishar,0,,Enquiry received and sent it to Supplier Krohne and E&H,2026-02-01,Open,"Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 20.0% / 28,000.00 | Delivery: 2025-12-10 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-25-0225,ARAMCO,Supply of Ultrasonic Clamp -on flow meter,New,Proposal,90,150000.0,2024-01-01,Mohammed Nishar,Mohammed Nishar,0,,Supply of Ultrasonic Clamp -on flow meter,2024-01-01,Open,"Business Unit: Trading | End User: ARAMCO | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 37,500.00 | Delivery: 2026-03-31 | Must Win: Yes"
SS-25-0224,Yasref,Supply of Daniel FM Spares,New,Proposal,90,0.0,2026-03-01,Mohammed Nishar,Mohamed Nishar,0,,,2026-03-01,Open,Business Unit: Trading | End User: Yasref | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 20.0% / 0.00 | Delivery: 2025-12-07 | Must Win: Yes | Quality: Gross value missing
SS-25-0223,AMINAT,Electricity-Energy Management System,New,Qualification,70,350000.0,2026-04-01,Abdelaziz Abdelsadek,abdelaziz,0,,,2026-04-01,Open,Business Unit: Trading | End User: شركة الامينات العربية | Industry: Materials | Original Stage: Budgetary | Forecast GM: 10.0% / 10.00 | Delivery: 2026-04-15 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %
SS-25-0222,Midal Cables,Supply of Thermocouples with Indicator,New,Qualification,90,0.0,2026-01-01,Mohammed Nishar,Mohammed Nishar,0,,Supply of Thermocouples with Indicator,2026-01-01,Open,"Business Unit: Trading | End User: Midal Cables | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 25.0% / 7,500.00 | Delivery: 2025-12-02 | Must Win: Yes | Quality: Gross value missing"
SS-25-0221,Aramco,Supply of Krohne Ultrasonic Flow Meter,New,Proposal,90,100000.0,2026-02-01,Mohammed Nishar,Mohamed Nishar,0,,Supply of Krohne Ultrasonic Flow Meter,2026-02-01,Open,"Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 20.0% / 20,000.00 | Delivery: 2025-11-26 | Must Win: Yes"
SS-25-0220,ARAMCO,"Supply, Installation of BTU Analyzer Replacement at KGP",New,Qualification,90,1000000.0,2026-01-01,Mohammed Nishar,Mohamed Nishar,0,,,2026-01-01,Open,"Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 10.0% / 100,000.00 | Delivery: 2026-12-31 | Must Win: Yes"
SS-25-0219,ARAMCO,Supply of ABB Spares and Installation,New,Proposal,90,15000.0,2024-01-01,Mohammed Nishar,Mohamed Nishar,0,,,2024-01-01,Open,"Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 7,500.00 | Delivery: 2025-11-24 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-25-0218,First Gas,Pressure Reducing Metering System,New,Qualification,70,10000000.0,2026-08-01,Shady Moussa,Rania,0,,,2026-08-01,Open,"Business Unit: Trading | End User: MOHAMED SAEED GLASS FACTORY | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 15.0% / 100,000.00 | Delivery: 2025-11-23 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-25-0217,Haif,"PLC,SCADA,RTU & INTEGRATION SYSTEM FOR KSP-MANFOUHA-BADIAH",New,Proposal,70,0.0,2026-01-01,Mohammed Nishar,Rania,0,,,2026-01-01,Open,Business Unit: Trading | End User: RCC | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 15.0% / 0.00 | Delivery: 2025-11-23 | Must Win: Yes | Quality: Gross value missing
SS-25-0216,Alazzaz Trading & Contracting Co.,Supply DPT,New,Lost,70,0.0,2026-03-01,Shady Moussa,Nishar,0,,,2026-03-01,Lost,Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Lost | Forecast GM: 25.0% / 0.00 | Delivery: 2025-11-22 | Must Win: Yes | Quality: Gross value missing
SS-25-0215,Mark Technologies Company,SUPPLY OF TRANSMITTER,New,Lost,70,0.0,2026-04-01,Shady Moussa,Nishar,0,,,2026-04-01,Lost,Business Unit: Trading | End User: Kuwait Oil Co (K.S.C) | Industry: Oil & Gas | Original Stage: Canceled | Forecast GM: 25.0% / 0.00 | Delivery: 2025-11-22 | Must Win: Yes | Quality: Gross value missing
SS-25-0214,Mark Technologies Company,SUPPLY OF CONTROL VALVE & ULTRASONIC FLOWMETER,New,Lost,70,0.0,2026-04-01,Shady Moussa,Nishar,0,,,2026-04-01,Lost,Business Unit: Trading | End User: Kuwait Oil Co (K.S.C) | Industry: Oil & Gas | Original Stage: Canceled | Forecast GM: 25.0% / 0.00 | Delivery: 2025-11-22 | Must Win: Yes | Quality: Gross value missing
SS-25-0213,Aramco,Supply of Variable Area Flowmter,New,Qualification,90,0.0,2026-01-01,Mohammed Nishar,Mohamed Nishar,0,,,2026-01-01,Open,Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 0.0% / 0.00 | Delivery: 2025-11-18 | Must Win: Yes | Quality: Customer Name missing; Account inferred from End User; Gross value missing; GM % missing
SS-25-0212,Aramco,Supply of Electromagnetic Flow Meter,New,Proposal,90,25000.0,2026-02-01,Mohammed Nishar,Mohamed Nishar,0,,,2026-02-01,Open,"Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 15.0% / 3,750.00 | Delivery: 2025-11-18 | Must Win: Yes | Quality: Customer Name missing; Account inferred from End User"
SS-25-0211,KJO,Upgradation of Server & Software of AGOC Gas metering Skid,New,Proposal,90,378967.0,2026-01-01,Basith Ahmed,Mohammed Nishar,0,,,2026-01-01,Open,"Business Unit: Trading | End User: KJO | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 10.0% / 49,428.00 | Delivery: 2025-11-18 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-25-0210,Almeer,Supply BS&W Analyzer,New,Lost,70,0.0,2026-02-01,Shady Moussa,Nishar,0,,,2026-02-01,Lost,Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Canceled | Forecast GM: 0.0% / 0.00 | Delivery: 2025-11-18 | Must Win: Yes | Quality: Gross value missing; GM % missing
SS-25-0209,Activities for Electromechanical Works,Supply of E&H Conductivity Sensor,New,Proposal,90,10000.0,2026-01-01,Mohammed Nishar,Mohamed Nishar,0,,,2026-01-01,Open,"Business Unit: Trading | End User: MASA | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 5,000.00 | Delivery: 2025-11-16 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-25-0208,Aramco,Supply of Aramco Ultrasonic Flow Meter,New,Proposal,90,0.0,2026-03-01,Mohammed Nishar,Mohamed Nishar,0,,Received RFQ from Aramco and floated to Krohne for offer.,2026-03-01,Open,"Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 10.0% / 200,000.00 | Delivery: 2025-11-11 | Must Win: Yes | Quality: Gross value missing"
SS-25-0207,Aramco,Supply gas regulator,New,Lost,70,65000.0,2026-04-01,Shady Moussa,Nishar,0,,,2026-04-01,Lost,Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Canceled | Forecast GM: 0.0% / 0.00 | Delivery: 2025-11-10 | Must Win: Yes | Quality: GM % missing
SS-25-0206,National Gas,Supervisory system & Gas Detector,New,Lost,70,0.0,2026-07-01,Shady Moussa,Nishar,0,,,2026-07-01,Lost,Business Unit: Trading | End User: Natural Gas Distribution Company | Industry: Oil & Gas | Original Stage: Canceled | Forecast GM: 0.0% / 0.00 | Delivery: 2025-11-10 | Must Win: Yes | Quality: Gross value missing; GM % missing
